AM034	[46.95782470703125,-78.63702392578125],[47.66094970703125,-78.51202392578125],[47.75469970703125,-78.84014892578125],[47.16094970703125,-79.01202392578125]
AM035	[28.16192626953125,-102.62890625],[28.28692626953125,-102.42578125],[28.86505126953125,-102.72265625],[28.69317626953125,-102.98828125]
AM036	[20.734375,-109.359375],[20.765625,-109.296875],[20.90625,-109.359375],[20.9375,-109.28125],[20.859375,-109.234375],[21.046875,-108.96875],[21.171875,-109.03125],[21.140625,-109.109375],[21.421875,-109.296875],[21.40625,-109.375],[21.515625,-109.4375],[21.453125,-109.53125],[21.328125,-109.453125],[21.21875,-109.609375]
AM037	[28.91448974609375,-66.84954833984375],[28.86761474609375,-66.53704833984375],[29.18011474609375,-66.50579833984375],[29.18011474609375,-66.44329833984375],[29.53948974609375,-66.42767333984375],[29.64886474609375,-66.78704833984375]
AM038	[39.11529541015625,-79.60888671875],[39.42779541015625,-79.57763671875],[39.45904541015625,-79.87451171875],[39.14654541015625,-79.89013671875]
AM039	[31.55926513671875,-77.52166748046875],[31.71551513671875,-77.39666748046875],[31.87176513671875,-77.56854248046875],[31.71551513671875,-77.69354248046875]
AM040	[26.04766845703125,-78.4886474609375],[26.34454345703125,-78.3323974609375],[26.46954345703125,-78.5355224609375],[26.20391845703125,-78.6761474609375]
AM041	[65.14105224609375,-58.17279052734375],[65.70355224609375,-57.56341552734375],[66.09417724609375,-57.92279052734375],[65.54730224609375,-58.51654052734375]
AM042	[55.56512451171875,-38.09259033203125],[55.83074951171875,-36.95196533203125],[56.19012451171875,-36.31134033203125],[56.37762451171875,-36.40509033203125],[56.06512451171875,-36.96759033203125],[56.61199951171875,-37.07696533203125],[56.34637451171875,-38.15509033203125],[56.44012451171875,-38.17071533203125],[56.40887451171875,-38.31134033203125]
AM043	[50.33294677734375,-67.0137939453125],[51.14544677734375,-67.0762939453125],[50.98919677734375,-67.7169189453125],[50.48919677734375,-67.6387939453125]
AM044	[56.2763671875,-75.45245361328125],[56.5107421875,-74.90557861328125],[56.8857421875,-74.92120361328125],[56.5419921875,-75.57745361328125]
AM045	[66.14556884765625,-64.9510498046875],[66.11431884765625,-64.8885498046875],[66.31744384765625,-64.7479248046875],[66.33306884765625,-64.7791748046875],[66.41119384765625,-64.7322998046875],[66.53619384765625,-64.8416748046875],[66.47369384765625,-64.8729248046875],[66.58306884765625,-64.9979248046875],[66.23931884765625,-65.2635498046875],[66.09869384765625,-65.0291748046875],[66.02056884765625,-65.0291748046875],[65.98931884765625,-64.9666748046875],[66.02056884765625,-64.9041748046875],[66.09869384765625,-64.9354248046875],[66.14556884765625,-64.9354248046875]
AM046	[32.1026611328125,-88.6875],[32.3370361328125,-88.5],[32.4932861328125,-88.796875],[32.4151611328125,-88.84375],[32.4932861328125,-88.984375],[32.3682861328125,-89.0625]
AT001	[91.51397705078125,-88.95184326171875],[92.79522705078125,-88.42059326171875],[93.13897705078125,-88.85809326171875],[91.76397705078125,-89.51434326171875]
AT002	[94.65460205078125,-87.56121826171875],[94.81085205078125,-87.40496826171875],[95.15460205078125,-87.85809326171875],[95.02960205078125,-87.96746826171875],[94.93585205078125,-87.84246826171875],[94.90460205078125,-87.87371826171875]
AC001	[10.5970458984375,-78.09088134765625],[10.9407958984375,-78.16900634765625],[10.8939208984375,-78.34088134765625],[10.9564208984375,-78.35650634765625],[10.8626708984375,-78.59088134765625],[10.5345458984375,-78.46588134765625]
